0,0,0,0,0,0
1,0.513237437,0.5132374368,0.5132374368,821.1798989354,821.1798989354
2,1.039351072,0.5261136351,1.0393510719,841.7818160842,1662.9617150197
3,1.577377532,0.5380264605,1.5773775324,860.8423367861,2523.8040518058
4,2.126784426,0.5494068935,2.1267844259,879.0510295686,3402.8550813744
5,2.687048931,0.560264505,2.6870489308,896.4232079656,4299.27828934
6,3.257658448,0.5706095174,3.2576584483,912.9752278877,5212.2535172276
7,3.838111133,0.5804526846,3.8381111329,928.7242953791,6140.9778126068
8,4.427916314,0.5898051814,4.4279163143,943.6882903199,7084.6661029267
9,5.026594818,0.5986785037,5.0265948181,957.885605967,8042.5517088937
10,5.633679196,0.6070843775,5.6336791956,971.3350039926,9013.8867128863
11,6.248713873,0.6150346778,6.2487138734,984.055484486,9997.9421973723
12,6.87125523,0.6225413564,6.8712552298,996.0661702423,10994.0083676146
13,7.500871608,0.6296163778,7.5008716076,1007.3862045548,12001.3945721693
14,8.137143271,0.6362716635,8.1371432711,1018.0346616601,13019.4292338294
15,8.779662314,0.6425190431,8.7796623142,1028.0304689398,14047.4597027692
16,9.428032527,0.6483702125,9.4280325267,1037.3923399684,15084.8520427376
17,10.08186923,0.6538366984,10.0818692251,1046.1387174972,16130.9907602349
18,10.74079905,0.6589298284,10.7407990536,1054.2877254833,17185.2784857181
19,11.40445976,0.6636607058,11.4044597594,1061.8571293004,18247.1356150186
20,12.07249995,0.6680401896,12.072499949,1068.8643033098,19315.9999183284
21,12.74457883,0.6720788781,12.7445788271,1075.3262050106,20391.3261233389
22,13.42036592,0.6757870969,13.420365924,1081.2593550425,21472.5854783814
23,14.09954081,0.679174889,14.099540813,1086.6798223606,22559.2653007419
24,14.78179282,0.6822520087,14.7817928217,1091.6032139572,23650.8685146991
25,15.46682074,0.6850279178,15.4668207395,1096.0446685562,24746.9131832553
26,16.15433252,0.6875117836,16.1543325231,1100.0188537563,25846.9320370116
27,16.844045,0.6897124788,16.844045002,1103.5399661475,26950.472003159
28,17.53568359,0.6916385837,17.5356835857,1106.6217339728,28057.0937371318
29,18.22898197,0.6932983887,18.2289819744,1109.2774219504,29166.3711590822
30,18.92368187,0.6946998987,18.9236818731,1111.5198379103,30277.8909969925
31,19.61953271,0.6958508381,19.6195327112,1113.3613409418,31391.2523379342
32,20.31629137,0.6967586567,20.3162913679,1114.8138507772,32506.0661887115
33,21.0137219,0.6974305364,21.0137219043,1115.8888581759,33621.9550468874
34,21.7115953,0.6978733976,21.7115953019,1116.5974360943,34738.5524829817
35,22.40968921,0.6980939072,22.409689209,1116.9502514605,35855.5027344422
36,23.10778769,0.6980984859,23.1077876949,1116.9575773932,36972.4603118354
37,23.80568101,0.6978933161,23.805681011,1116.629305724,38089.0896175593
38,24.50316536,0.6974843498,24.5031653608,1115.9749597064,39205.0645772658
39,25.20004268,0.6968773168,25.2000426775,1115.0037068068,40320.0682840725
40,25.89612041,0.6960777322,25.8961204097,1113.7243714907,41433.7926555632
41,26.59121131,0.695090905,26.5912113147,1112.1454479321,42545.9381034953
42,27.28513326,0.6939219454,27.28513326,1110.2751125811,43656.2132160764
43,27.97770903,0.6925757728,27.9777090329,1108.1212365415,44764.3344526179
44,28.66876616,0.6910571236,28.6687661565,1105.6913977142,45870.0258503322
45,29.35813671,0.6893705579,29.3581367144,1102.9928926732,46973.0187430054
46,30.04565718,0.6875204677,30.045657182,1100.0327482466,48073.051491252
47,30.73116827,0.685511083,30.731168265,1096.8177327825,49169.8692240344
48,31.41451474,0.6833464794,31.4145147444,1093.3543670827,50263.2235911171
49,32.09554533,0.6810305844,32.0955453288,1089.6489349949,51352.872526112
50,32.77411251,0.6785671835,32.7741125124,1085.7074936531,52438.5800197651
51,33.45007244,0.6759599271,33.4500724395,1081.5358833659,53520.1159031311
52,34.12328478,0.6732123357,34.1232847752,1077.1397371487,54597.2556402797
53,34.79361258,0.6703278062,34.7936125814,1072.5244899012,55669.7801301809
54,35.4609222,0.667309617,35.4609221984,1067.6953872357,56737.4755174166
55,36.12508313,0.6641609337,36.1250831321,1062.6574939576,57800.1330113741
56,36.78596795,0.6608848139,36.785967946,1057.4157022065,58857.5487135806
57,37.44345216,0.657484212,37.443452158,1051.9747392651,59909.5234528458
58,38.09741414,0.6539619844,38.0974141424,1046.3391750418,60955.8626278876
59,38.74773504,0.6503208933,38.7477350357,1040.5134292389,61996.3760571265
60,39.39429865,0.6465636114,39.3942986471,1034.5017782129,63030.8778353394
61,40.03699137,0.642692726,40.036991373,1028.3083615382,64059.1861968776
62,40.67570212,0.6387107427,40.6757021157,1021.9371882832,65081.1233851608
63,41.31032221,0.6346200894,41.3103222051,1015.3921430095,66096.5155281702
64,41.94074532,0.6304231197,41.9407453248,1008.676991503,67105.1925196732
65,42.56686744,0.6261221164,42.5668674412,1001.7953862489,68106.9879059221
66,43.18858674,0.6217192948,43.188586736,994.7508716585,69101.7387775806
67,43.80580354,0.6172168057,43.8058035417,987.5468890594,70089.2856666401
68,44.41842028,0.6126167384,44.4184202801,980.186781457,71069.4724480971
69,45.0263414,0.6079211238,45.0263414039,972.6737980784,72042.1462461755
70,45.62947334,0.6031319367,45.6294733406,965.0110987075,73007.1573448831
71,46.22772444,0.5982510986,46.2277244392,957.201757819,73964.3591027021
72,46.82100492,0.5932804803,46.8210049195,949.248768522,74913.6078712241
73,47.40922682,0.588221904,47.4092268235,941.1550463202,75854.7629175443
74,47.99230397,0.5830771454,47.9923039689,932.9234326978,76787.6863502421
75,48.57015191,0.5778479366,48.5701519055,924.5566985377,77712.2430487798
76,49.14268787,0.5725359671,49.1426878726,916.0575473813,78628.3005961611
77,49.70983076,0.5671428866,49.7098307592,907.4286185359,79535.729214697
78,50.27150107,0.5616703063,50.2715010655,898.6724900367,80434.4017047337
79,50.82762087,0.5561198009,50.8276208664,889.7916814717,81324.1933862054
80,51.37811378,0.5504929104,51.3781137768,880.7886566731,82204.9820428785
81,51.92290492,0.5447911414,51.9229049182,871.6658262847,83076.6478691632
82,52.46192089,0.5390159689,52.4619208871,862.4255502081,83939.0734193713
83,52.99508972,0.5331688375,52.9950897246,853.0701399361,84792.1435593073
84,53.52234089,0.527251163,53.5223408876,843.601860776,85635.7454200834
85,54.04360522,0.5212643337,54.0436052213,834.022933971,86469.7683540544
86,54.55881493,0.5152097117,54.558814933,824.3355387208,87294.1038927751
87,55.06790357,0.5090886338,55.0679035668,814.5418141105,88108.6457068856
88,55.57080598,0.5029024131,55.5708059799,804.6438609485,88913.2895678341
89,56.06745832,0.4966523397,56.0674583196,794.6437435195,89707.9333113536
90,56.557798,0.490339682,56.5577980016,784.5434912568,90492.4768026104
